employee_id,first_name,last_name,email,phone,position,location_id
198,Donald,OConnell,doconnel@abcfoodmart.com,650-507-9833,SH_CLERK,3
199,Douglas,Grant,dgrant@abcfoodmart.com,650-507-9844,SH_CLERK,5
200,Jennifer,Whalen,jwhalen@abcfoodmart.com,515-123-4444,AD_ASST,2
201,Michael,Hartstein,mhartste@abcfoodmart.com,515-123-5555,MK_MAN,2
202,Pat,Fay,pfay@abcfoodmart.com,603-123-6666,MK_REP,2
203,Susan,Mavris,smavris@abcfoodmart.com,515-123-7777,HR_REP,3
204,Hermann,Baer,hbaer@abcfoodmart.com,515-123-8888,PR_REP,3
205,Shelley,Higgins,shiggins@abcfoodmart.com,515-123-8080,AC_MGR,3
206,William,Gietz,wgietz@abcfoodmart.com,515-123-8181,AC_ACCOUNT,1
100,Steven,King,sking@abcfoodmart.com,515-123-4567,AD_PRES,4
101,Neena,Kochhar,nkochhar@abcfoodmart.com,515-123-4568,AD_VP,3
102,Lex,De Haan,ldehaan@abcfoodmart.com,515-123-4569,AD_VP,1
103,Alexander,Hunold,ahunold@abcfoodmart.com,590-423-4567,IT_PROG,4
104,Bruce,Ernst,bernst@abcfoodmart.com,590-423-4568,IT_PROG,2
105,David,Austin,daustin@abcfoodmart.com,590-423-4569,IT_PROG,3
106,Valli,Pataballa,vpatabal@abcfoodmart.com,590-423-4560,IT_PROG,5
107,Diana,Lorentz,dlorentz@abcfoodmart.com,590-423-5567,IT_PROG,2
108,Nancy,Greenberg,ngreenbe@abcfoodmart.com,515-124-4569,FI_MGR,4
109,Daniel,Faviet,dfaviet@abcfoodmart.com,515-124-4169,FI_ACCOUNT,3
110,John,Chen,jchen@abcfoodmart.com,515-124-4269,FI_ACCOUNT,2
111,Ismael,Sciarra,isciarra@abcfoodmart.com,515-124-4369,FI_ACCOUNT,1
112,Jose Manuel,Urman,jmurman@abcfoodmart.com,515-124-4469,FI_ACCOUNT,2
113,Luis,Popp,lpopp@abcfoodmart.com,515-124-4567,FI_ACCOUNT,4
114,Den,Raphaely,drapheal@abcfoodmart.com,515-127-4561,PU_MAN,4
115,Alexander,Khoo,akhoo@abcfoodmart.com,515-127-4562,PU_CLERK,1
116,Shelli,Baida,sbaida@abcfoodmart.com,515-127-4563,PU_CLERK,5
117,Sigal,Tobias,stobias@abcfoodmart.com,515-127-4564,PU_CLERK,2
118,Guy,Himuro,ghimuro@abcfoodmart.com,515-127-4565,PU_CLERK,5
119,Karen,Colmenares,kcolmena@abcfoodmart.com,515-127-4566,PU_CLERK,3
120,Matthew,Weiss,mweiss@abcfoodmart.com,650-123-1234,ST_MAN,5
121,Adam,Fripp,afripp@abcfoodmart.com,650-123-2234,ST_MAN,2
122,Payam,Kaufling,pkauflin@abcfoodmart.com,650-123-3234,ST_MAN,3
123,Shanta,Vollman,svollman@abcfoodmart.com,650-123-4234,ST_MAN,1
124,Kevin,Mourgos,kmourgos@abcfoodmart.com,650-123-5234,ST_MAN,4
125,Julia,Nayer,jnayer@abcfoodmart.com,650-124-1214,SH_CLERK,3
126,Irene,Mikkilineni,imikkili@abcfoodmart.com,650-124-1224,SH_CLERK,1
127,James,Landry,jlandry@abcfoodmart.com,650-124-1334,SH_CLERK,2
128,Steven,Markle,smarkle@abcfoodmart.com,650-124-1434,SH_CLERK,5
129,Laura,Bissot,lbissot@abcfoodmart.com,650-124-5234,SH_CLERK,5
130,Mozhe,Atkinson,matkinso@abcfoodmart.com,650-124-6234,SH_CLERK,1
131,James,Marlow,jamrlow@abcfoodmart.com,650-124-7234,SH_CLERK,4
132,TJ,Olson,tjolson@abcfoodmart.com,650-124-8234,SH_CLERK,5
133,Jason,Mallin,jmallin@abcfoodmart.com,650-127-1934,SH_CLERK,1
134,Michael,Rogers,mrogers@abcfoodmart.com,650-127-1834,SH_CLERK,4
135,Ki,Gee,kgee@abcfoodmart.com,650-127-1734,SH_CLERK,2
136,Hazel,Philtanker,hphiltan@abcfoodmart.com,650-127-1634,SH_CLERK,5
137,Renske,Ladwig,rladwig@abcfoodmart.com,650-121-1234,SH_CLERK,5
138,Stephen,Stiles,sstiles@abcfoodmart.com,650-121-2034,SH_CLERK,2
139,John,Seo,jseo@abcfoodmart.com,650-121-2019,SH_CLERK,3
140,Joshua,Patel,jpatel@abcfoodmart.com,650-121-1834,SH_CLERK,1
