employee_id,first_name,last_name,email,phone,position,hourly_wage,shift_date,shift_start_time,shift_end_time
198,Donald,OConnell,doconnel@abcfoodmart.com,650-507-9833,SH_CLERK,$15.00,2023-10-19,22:03:00,06:03:00
199,Douglas,Grant,dgrant@abcfoodmart.com,650-507-9844,SH_CLERK,$15.00,2023-10-26,07:10:00,15:10:00
200,Jennifer,Whalen,jwhalen@abcfoodmart.com,515-123-4444,AD_ASST,$18.50,2023-05-20,20:22:00,04:22:00
201,Michael,Hartstein,mhartste@abcfoodmart.com,515-123-5555,MK_MAN,$25.00,2023-08-08,17:57:00,01:57:00
202,Pat,Fay,pfay@abcfoodmart.com,603-123-6666,MK_REP,$20.00,2023-09-28,22:49:00,06:49:00
203,Susan,Mavris,smavris@abcfoodmart.com,515-123-7777,HR_REP,$22.50,2023-08-04,12:30:00,20:30:00
204,Hermann,Baer,hbaer@abcfoodmart.com,515-123-8888,PR_REP,$21.00,2023-01-01,03:25:00,11:25:00
205,Shelley,Higgins,shiggins@abcfoodmart.com,515-123-8080,AC_MGR,$28.00,2023-06-15,14:51:00,22:51:00
206,William,Gietz,wgietz@abcfoodmart.com,515-123-8181,AC_ACCOUNT,$19.50,2023-08-27,19:18:00,03:18:00
100,Steven,King,sking@abcfoodmart.com,515-123-4567,AD_PRES,$35.00,2023-11-27,07:30:00,15:30:00
101,Neena,Kochhar,nkochhar@abcfoodmart.com,515-123-4568,AD_VP,$32.50,2023-06-30,03:44:00,11:44:00
102,Lex,De Haan,ldehaan@abcfoodmart.com,515-123-4569,AD_VP,$32.50,2023-08-14,03:16:00,11:16:00
103,Alexander,Hunold,ahunold@abcfoodmart.com,590-423-4567,IT_PROG,$24.00,2023-11-18,08:17:00,16:17:00
104,Bruce,Ernst,bernst@abcfoodmart.com,590-423-4568,IT_PROG,$24.00,2023-06-01,06:41:00,14:41:00
105,David,Austin,daustin@abcfoodmart.com,590-423-4569,IT_PROG,$24.00,2023-11-12,22:15:00,06:15:00
106,Valli,Pataballa,vpatabal@abcfoodmart.com,590-423-4560,IT_PROG,$24.00,2023-01-27,07:22:00,15:22:00
107,Diana,Lorentz,dlorentz@abcfoodmart.com,590-423-5567,IT_PROG,$24.00,2023-01-01,18:30:00,02:30:00
108,Nancy,Greenberg,ngreenbe@abcfoodmart.com,515-124-4569,FI_MGR,$30.00,2023-03-15,00:53:00,08:53:00
109,Daniel,Faviet,dfaviet@abcfoodmart.com,515-124-4169,FI_ACCOUNT,$20.50,2023-05-19,12:19:00,20:19:00
110,John,Chen,jchen@abcfoodmart.com,515-124-4269,FI_ACCOUNT,$20.50,2023-10-31,12:28:00,20:28:00
111,Ismael,Sciarra,isciarra@abcfoodmart.com,515-124-4369,FI_ACCOUNT,$20.50,2023-04-15,15:22:00,23:22:00
112,Jose Manuel,Urman,jmurman@abcfoodmart.com,515-124-4469,FI_ACCOUNT,$20.50,2023-04-10,07:50:00,15:50:00
113,Luis,Popp,lpopp@abcfoodmart.com,515-124-4567,FI_ACCOUNT,$20.50,2023-09-05,06:11:00,14:11:00
114,Den,Raphaely,drapheal@abcfoodmart.com,515-127-4561,PU_MAN,$26.00,2023-10-01,03:58:00,11:58:00
115,Alexander,Khoo,akhoo@abcfoodmart.com,515-127-4562,PU_CLERK,$17.00,2023-08-30,07:33:00,15:33:00
116,Shelli,Baida,sbaida@abcfoodmart.com,515-127-4563,PU_CLERK,$17.00,2023-06-12,20:38:00,04:38:00
117,Sigal,Tobias,stobias@abcfoodmart.com,515-127-4564,PU_CLERK,$17.00,2023-04-26,02:28:00,10:28:00
118,Guy,Himuro,ghimuro@abcfoodmart.com,515-127-4565,PU_CLERK,$17.00,2023-08-02,10:47:00,18:47:00
119,Karen,Colmenares,kcolmena@abcfoodmart.com,515-127-4566,PU_CLERK,$17.00,2023-02-19,10:32:00,18:32:00
120,Matthew,Weiss,mweiss@abcfoodmart.com,650-123-1234,ST_MAN,$27.00,2023-03-06,07:10:00,15:10:00
121,Adam,Fripp,afripp@abcfoodmart.com,650-123-2234,ST_MAN,$27.00,2023-10-28,05:17:00,13:17:00
122,Payam,Kaufling,pkauflin@abcfoodmart.com,650-123-3234,ST_MAN,$27.00,2023-08-17,08:24:00,16:24:00
123,Shanta,Vollman,svollman@abcfoodmart.com,650-123-4234,ST_MAN,$27.00,2023-08-25,15:54:00,23:54:00
124,Kevin,Mourgos,kmourgos@abcfoodmart.com,650-123-5234,ST_MAN,$27.00,2023-02-22,18:23:00,02:23:00
125,Julia,Nayer,jnayer@abcfoodmart.com,650-124-1214,SH_CLERK,$15.00,2023-01-14,21:42:00,05:42:00
126,Irene,Mikkilineni,imikkili@abcfoodmart.com,650-124-1224,SH_CLERK,$15.00,2023-08-09,08:43:00,16:43:00
127,James,Landry,jlandry@abcfoodmart.com,650-124-1334,SH_CLERK,$15.00,2023-03-27,16:37:00,00:37:00
