employee_id,first_name,last_name,email,phone,position,hourly_wage,shift_date,shift_start_time,shift_end_time
198,Donald,OConnell,doconnel@abcfoodmart.com,650-507-9833,SH_CLERK,$15.00,2023-02-12,12:28:00,20:28:00
199,Douglas,Grant,dgrant@abcfoodmart.com,650-507-9844,SH_CLERK,$15.00,2023-10-17,19:51:00,03:51:00
200,Jennifer,Whalen,jwhalen@abcfoodmart.com,515-123-4444,AD_ASST,$18.50,2023-07-24,00:27:00,08:27:00
201,Michael,Hartstein,mhartste@abcfoodmart.com,515-123-5555,MK_MAN,$25.00,2023-11-22,17:59:00,01:59:00
202,Pat,Fay,pfay@abcfoodmart.com,603-123-6666,MK_REP,$20.00,2023-10-03,03:41:00,11:41:00
203,Susan,Mavris,smavris@abcfoodmart.com,515-123-7777,HR_REP,$22.50,2023-03-05,10:30:00,18:30:00
204,Hermann,Baer,hbaer@abcfoodmart.com,515-123-8888,PR_REP,$21.00,2023-01-29,13:20:00,21:20:00
205,Shelley,Higgins,shiggins@abcfoodmart.com,515-123-8080,AC_MGR,$28.00,2023-11-25,06:16:00,14:16:00
206,William,Gietz,wgietz@abcfoodmart.com,515-123-8181,AC_ACCOUNT,$19.50,2023-10-25,12:20:00,20:20:00
100,Steven,King,sking@abcfoodmart.com,515-123-4567,AD_PRES,$35.00,2023-02-25,20:09:00,04:09:00
101,Neena,Kochhar,nkochhar@abcfoodmart.com,515-123-4568,AD_VP,$32.50,2023-02-14,04:23:00,12:23:00
102,Lex,De Haan,ldehaan@abcfoodmart.com,515-123-4569,AD_VP,$32.50,2023-11-20,23:53:00,07:53:00
103,Alexander,Hunold,ahunold@abcfoodmart.com,590-423-4567,IT_PROG,$24.00,2023-10-01,16:04:00,00:04:00
104,Bruce,Ernst,bernst@abcfoodmart.com,590-423-4568,IT_PROG,$24.00,2023-05-28,08:59:00,16:59:00
105,David,Austin,daustin@abcfoodmart.com,590-423-4569,IT_PROG,$24.00,2023-06-29,09:37:00,17:37:00
106,Valli,Pataballa,vpatabal@abcfoodmart.com,590-423-4560,IT_PROG,$24.00,2023-08-11,21:33:00,05:33:00
107,Diana,Lorentz,dlorentz@abcfoodmart.com,590-423-5567,IT_PROG,$24.00,2023-10-28,13:14:00,21:14:00
108,Nancy,Greenberg,ngreenbe@abcfoodmart.com,515-124-4569,FI_MGR,$30.00,2023-02-09,18:05:00,02:05:00
109,Daniel,Faviet,dfaviet@abcfoodmart.com,515-124-4169,FI_ACCOUNT,$20.50,2023-10-13,22:01:00,06:01:00
110,John,Chen,jchen@abcfoodmart.com,515-124-4269,FI_ACCOUNT,$20.50,2023-06-09,09:10:00,17:10:00
111,Ismael,Sciarra,isciarra@abcfoodmart.com,515-124-4369,FI_ACCOUNT,$20.50,2023-10-04,14:20:00,22:20:00
112,Jose Manuel,Urman,jmurman@abcfoodmart.com,515-124-4469,FI_ACCOUNT,$20.50,2023-08-10,07:18:00,15:18:00
113,Luis,Popp,lpopp@abcfoodmart.com,515-124-4567,FI_ACCOUNT,$20.50,2023-07-20,15:01:00,23:01:00
114,Den,Raphaely,drapheal@abcfoodmart.com,515-127-4561,PU_MAN,$26.00,2023-03-17,21:50:00,05:50:00
115,Alexander,Khoo,akhoo@abcfoodmart.com,515-127-4562,PU_CLERK,$17.00,2023-08-29,23:54:00,07:54:00
